-------------------------------------------------------------------------------
NGINX Ingress controller
  Release:       v1.3.1
  Build:         92534fa2ae799b502882c8684db13a25cde68155
  Repository:    https://github.com/kubernetes/ingress-nginx
***HIDDEN*** - - [21/Nov/2023:14:31:25 +0000] "GET /auth/realms/knime/.well-known/openid-configuration HTTP/1.1" 200 6344 "-" "Vert.x-WebClient/4.4.4" 1313 0.328 [knime-keycloak-8443] [] ***HIDDEN***:8443 6344 0.328 200 7af9d759-aa03-467c-8edc-436ade2b9427
***HIDDEN*** - - [21/Nov/2023:14:31:28 +0000] "GET /auth/realms/knime/.well-known/openid-configuration HTTP/1.1" 200 6344 "-" "Vert.x-WebClient/4.4.4" 1295 0.059 [knime-keycloak-8443] [] ***HIDDEN***:8443 6344 0.060 200 7489e2eb-03ae-4109-a10d-cfee2221c63a
***HIDDEN*** - - [21/Nov/2023:14:31:28 +0000] "GET /auth/realms/knime/.well-known/openid-configuration HTTP/1.1" 200 6344 "-" "Vert.x-WebClient/4.4.4" 1295 0.005 [knime-keycloak-8443] [] ***HIDDEN***:8443 6344 0.004 200 89dae6bf-6f5c-49d0-a268-49bed1bae368
***HIDDEN*** - - [21/Nov/2023:14:33:04 +0000] "GET /auth/realms/knime/.well-known/openid-configuration HTTP/1.1" 200 6344 "-" "Vert.x-WebClient/4.4.4" 1268 0.020 [knime-keycloak-8443] [] ***HIDDEN***:8443 6344 0.020 200 4fabe2b8-ea7f-4093-a1ec-021f513a6fa7
***HIDDEN*** - - [21/Nov/2023:14:33:04 +0000] "GET /auth/realms/knime/.well-known/openid-configuration HTTP/1.1" 200 6344 "-" "Vert.x-WebClient/4.4.4" 1268 0.005 [knime-keycloak-8443] [] ***HIDDEN***:8443 6344 0.004 200 d6b41e85-7b4e-4419-8094-d89c5881b7ea
***HIDDEN*** - - [21/Nov/2023:14:33:09 +0000] "GET /auth/realms/knime/protocol/openid-connect/certs HTTP/1.1" 200 2909 "-" "Apache-HttpClient/4.5.14 (Java/17.0.9)" 1281 0.077 [knime-keycloak-8443] [] ***HIDDEN***:8443 2909 0.076 200 3e93a7b2-36f2-4f47-aa0e-6b9c93a5a2b0
***HIDDEN*** - - [21/Nov/2023:14:33:13 +0000] "GET /auth/realms/knime/protocol/openid-connect/certs HTTP/1.1" 200 2909 "-" "Apache-HttpClient/4.5.14 (Java/17.0.9)" 1281 0.015 [knime-keycloak-8443] [] ***HIDDEN***:8443 2909 0.016 200 ac5c7266-60cd-4011-88c5-eef0fd40cfb7
***HIDDEN*** - - [21/Nov/2023:14:33:17 +0000] "GET /auth/realms/knime/protocol/openid-connect/certs HTTP/1.1" 200 2909 "-" "Apache-HttpClient/4.5.14 (Java/17.0.9)" 1281 0.006 [knime-keycloak-8443] [] ***HIDDEN***:8443 2909 0.008 200 b1ea248f-0608-46dd-bf1b-c2a59774fb3c
***HIDDEN*** - - [21/Nov/2023:14:33:22 +0000] "GET /auth/realms/knime/protocol/openid-connect/certs HTTP/1.1" 200 2909 "-" "Apache-HttpClient/4.5.14 (Java/17.0.9)" 1281 0.005 [knime-keycloak-8443] [] ***HIDDEN***:8443 2909 0.004 200 83adba13-d1b1-419e-9b76-8715697737ad
***HIDDEN*** - - [21/Nov/2023:14:33:27 +0000] "GET /auth/realms/knime/protocol/openid-connect/certs HTTP/1.1" 200 2909 "-" "Apache-HttpClient/4.5.14 (Java/17.0.9)" 1281 0.006 [knime-keycloak-8443] [] ***HIDDEN***:8443 2909 0.008 200 95e8609c-4985-4f22-a34d-bbaa0e3abdb2
***HIDDEN*** - - [21/Nov/2023:14:33:32 +0000] "GET /auth/realms/knime/protocol/openid-connect/certs HTTP/1.1" 200 2909 "-" "Apache-HttpClient/4.5.14 (Java/17.0.9)" 1281 0.006 [knime-keycloak-8443] [] ***HIDDEN***:8443 2909 0.004 200 5b74b977-7114-4b4c-875e-15063065eae6
