I1121 14:29:53.013597       1 request.go:655] Throttling request took 1.049205256s, request: GET:https://***HIDDEN***:443/apis/apps/v1?timeout=32s
2023-11-21T14:29:55.229Z	INFO	controller-runtime.manager	Successfully updated Secret.	{"SecretConfig": "knime/catalog-service-db-secretconfig", "targetSecret": "hub/catalog-service-db-secret"}
2023-11-21T14:29:55.279Z	INFO	controller-runtime.manager	Successfully updated Secret.	{"SecretConfig": "knime/keycloak-rest-interface-secretconfig", "targetSecret": "hub/keycloak-client-secret-rest-interface"}
2023-11-21T14:29:55.328Z	INFO	controller-runtime.manager	Successfully updated Secret.	{"SecretConfig": "knime/keycloak-session-service-secretconfig", "targetSecret": "hub/keycloak-client-secret-session-service"}
2023-11-21T14:29:55.379Z	INFO	controller-runtime.manager	Successfully updated Secret.	{"SecretConfig": "knime/execution-minio-secretconfig", "targetSecret": "hub/execution-minio-credentials"}
2023-11-21T14:29:55.429Z	INFO	controller-runtime.manager	Successfully updated Secret.	{"SecretConfig": "knime/keycloak-db-secretconfig", "targetSecret": "knime/keycloak-db-secret"}
2023-11-21T14:29:55.478Z	INFO	controller-runtime.manager	Successfully updated Secret.	{"SecretConfig": "kurl/kurl-registry-secretconfig", "targetSecret": "hub-execution/registry-creds"}
2023-11-21T14:29:55.528Z	INFO	controller-runtime.manager	Successfully updated Secret.	{"SecretConfig": "knime/edge-db-secretconfig", "targetSecret": "hub/edge-db-secret"}
2023-11-21T14:29:55.579Z	INFO	controller-runtime.manager	Successfully updated Secret.	{"SecretConfig": "knime/keycloak-s3-proxy-secretconfig", "targetSecret": "hub/keycloak-client-secret-s3-proxy"}
2023-11-21T14:29:55.629Z	INFO	controller-runtime.manager	Successfully updated Secret.	{"SecretConfig": "knime/knime-artemis-secretconfig", "targetSecret": "hub/knime-artemis"}
2023-11-21T14:29:55.679Z	INFO	controller-runtime.manager	Successfully updated Secret.	{"SecretConfig": "knime/keycloak-kubernetes-event-persistor-secretconfig", "targetSecret": "hub/keycloak-client-secret-kubernetes-event-persistor"}
2023-11-21T14:29:55.729Z	INFO	controller-runtime.manager	Successfully updated Secret.	{"SecretConfig": "knime/session-service-db-secretconfig", "targetSecret": "hub/session-service-db-secret"}
2023-11-21T14:29:55.778Z	INFO	controller-runtime.manager	Successfully updated Secret.	{"SecretConfig": "knime/keycloak-catalog-service-secretconfig", "targetSecret": "hub/keycloak-client-secret-catalog-service"}
2023-11-21T14:29:55.830Z	INFO	controller-runtime.manager	Successfully updated Secret.	{"SecretConfig": "knime/notification-service-db-secretconfig", "targetSecret": "hub/notification-service-db-secret"}
2023-11-21T16:12:53.459Z	INFO	controller-runtime.manager	Successfully updated Secret.	{"SecretConfig": "knime/keycloak-keycloak-proxy-secretconfig", "targetSecret": "hub/keycloak-client-secret-keycloak-proxy"}
2023-11-21T16:12:53.461Z	INFO	controller-runtime.manager	Successfully updated Secret.	{"SecretConfig": "knime/execution-services-db-secretconfig", "targetSecret": "hub/execution-services-db-secret"}
2023-11-21T16:12:53.462Z	INFO	controller-runtime.manager	Successfully updated Secret.	{"SecretConfig": "knime/catalog-service-db-secretconfig", "targetSecret": "hub/catalog-service-db-secret"}
2023-11-21T16:12:53.463Z	INFO	controller-runtime.manager	Successfully updated Secret.	{"SecretConfig": "knime/keycloak-rest-interface-secretconfig", "targetSecret": "hub/keycloak-client-secret-rest-interface"}
2023-11-21T16:12:53.465Z	INFO	controller-runtime.manager	Successfully updated Secret.	{"SecretConfig": "knime/keycloak-session-service-secretconfig", "targetSecret": "hub/keycloak-client-secret-session-service"}
2023-11-21T16:12:53.466Z	INFO	controller-runtime.manager	Successfully updated Secret.	{"SecretConfig": "knime/execution-minio-secretconfig", "targetSecret": "hub/execution-minio-credentials"}
2023-11-21T16:12:53.468Z	INFO	controller-runtime.manager	Successfully updated Secret.	{"SecretConfig": "knime/keycloak-db-secretconfig", "targetSecret": "knime/keycloak-db-secret"}
2023-11-21T16:12:53.469Z	INFO	controller-runtime.manager	Successfully updated Secret.	{"SecretConfig": "kurl/kurl-registry-secretconfig", "targetSecret": "hub-execution/registry-creds"}
2023-11-21T16:12:53.472Z	INFO	controller-runtime.manager	Successfully updated Secret.	{"SecretConfig": "knime/edge-db-secretconfig", "targetSecret": "hub/edge-db-secret"}
2023-11-21T16:12:53.473Z	INFO	controller-runtime.manager	Successfully updated Secret.	{"SecretConfig": "knime/keycloak-s3-proxy-secretconfig", "targetSecret": "hub/keycloak-client-secret-s3-proxy"}
2023-11-21T16:12:53.475Z	INFO	controller-runtime.manager	Successfully updated Secret.	{"SecretConfig": "knime/knime-artemis-secretconfig", "targetSecret": "hub/knime-artemis"}
